63, 0.249
5, 0.028
5, 0.034
5, 0.032
3, 0.011
6, 0.19
5, 0.024
4, 0.067
5, 0.033
5, 0.034
5, 0.032
5, 0.029
5, 0.041
5, 0.194
3, 0.007
195, 2.938
3, 0.003
3, 0.016
3, 0.007
2, 0.034
5, 0.043
3, 0.012
3, 0.012
3, 0.008
4, 0.027
4, 0.06
4, 0.06
23, 0.175
3, 0.007
4, 0.021
3, 0.06
5, 0.041
12, 0.2
5, 0.107
3, 0.016
4, 0.057
4, 0.062
1, 0.049
12, 0.159
4, 0.014
5, 0.074
7, 0.106
4, 0.03
31, 1.955
2, 0.012
5, 0.374
3, 0.059
3, 0.028
4, 0.389
3, 0.02
3, 0.017
3, 0.024
52, 0.149
6, 0.038
3, 0.024
3, 0.012
3, 0.021
3, 0.011
18, 0.021
3, 0.039
3, 0.017
1, 0.004
3, 0.02
3, 0.017
3, 0.011
24, 0.054
3, 0.012
3, 0.017
3, 0.017
3, 0.011
3, 0.019
1, 0.003
6, 0.006
2, 0.004
1, 0.003
1, 0.003
1, 0.003
4, 0.378
4, 0.379
4, 0.382
119, 0.785
14, 0.196
4, 0.018
5, 0.387
1, 0.002
12, 0.298
3, 0.022
4, 0.025
4, 0.383
4, 0.367
1, 0.134
7, 0.02
2, 0.371
1, 0.106
3, 0.393
4, 0.352
4, 0.357
4, 0.353
3, 0.065
6, 0.012
3, 0.376
3, 0.349
3, 0.37
3, 0.409
3, 0.342
3, 0.359
3, 0.348
5, 0.022
5, 0.023
6, 0.031
3, 0.01
5, 0.061
5, 0.063
6, 0.075
2, 0.007
2, 0.009
100, 0.179
5, 0.017
7, 0.075
6, 0.012
6, 0.071
1, 0.014
5, 0.029
5, 0.053
5, 0.027
6, 0.017
5, 0.03
5, 0.024
5, 0.011
3, 0.015
3, 0.014
3, 0.015
1, 0.008
3, 0.014
28, 0.053
3, 0.014
3, 0.015
3, 0.014
3, 0.015
3, 0.016
3, 0.038
3, 0.017
4, 0.018
4, 0.021
4, 0.019
53, 0.124
9, 0.046
7, 0.025
4, 0.023
4, 0.031
4, 0.019
4, 0.018
6, 0.029
5, 0.048
23, 0.57
2, 0.003
5, 0.248
6, 0.239
5, 0.265
5, 0.242
3, 0.042
1, 0.049
5, 0.032
3, 0.028
5, 0.238
5, 0.024
14, 0.032
3, 0.016
4, 0.054
5, 0.15
3, 0.032
3, 0.364
11, 0.351
2, 0.008
177, 1.069
3, 0.016
1, 0.08
8, 0.078
3, 0.06
5, 0.182
5, 0.079
6, 0.03
28, 0.628
8, 0.042
6, 0.121
5, 0.056
9, 0.132
18, 0.267
5, 0.121
5, 0.057
5, 0.062
4, 0.016
6, 0.224
7, 0.209
6, 0.196
7, 0.202
7, 0.13
5, 0.049
6, 0.192
179, 0.509
6, 0.062
6, 0.069
23, 0.094
6, 0.088
4, 0.015
11, 0.244
8, 0.18
6, 0.055
21, 0.08
2, 0.008
4, 0.045
5, 0.018
6, 0.018
4, 0.004
49, 0.155
7, 0.01
5, 0.033
7, 0.101
6, 0.056
5, 0.054
4, 0.017
6, 0.056
186, 0.822
7, 0.37
8, 0.248
7, 0.15
4, 0.016
7, 0.348
5, 0.051
5, 0.063
7, 0.21
7, 0.201
11, 0.155
9, 0.063
6, 0.45
6, 0.122
6, 0.132
6, 0.117
9, 0.064
5, 0.052
9, 0.163
5, 0.061
5, 0.059
6, 0.198
7, 0.224
6, 0.124
5, 0.038
4, 0.037
6, 0.079
5, 0.025
4, 0.065
4, 0.07
4, 0.045
4, 0.03
38, 0.243
2, 0.013
5, 0.015
4, 0.012
5, 0.012
4, 0.012
4, 0.011
2, 0.008
4, 0.063
28, 0.087
1, 0.003
4, 0.02
6, 0.012
11, 0.042
6, 0.019
49, 0.052
14, 0.028
20, 0.025
9, 0.024
18, 0.03
4, 0.013
4, 0.013
6, 0.014
4, 0.014
38, 0.039
3, 0.027
24, 0.045
4, 0.022
4, 0.011
3, 0.037
72, 0.084
1, 0.007
54, 0.068
4, 0.017
4, 0.015
2, 0.021
2, 0.018
5, 0.015
5, 0.009
5, 0.022
104, 0.067
7, 0.007
4, 0.009
14, 0.016
18, 0.036
3, 0.007
8, 0.013
4, 0.013
11, 0.081
10, 0.017
12, 0.011
3, 0.008
4, 0.006
2, 0.01
78, 0.104
9, 0.026
6, 0.025
8, 0.028
11, 0.029
3, 0.007
10, 0.025
3, 0.008
8, 0.01
5, 0.008
5, 0.021
12, 0.006
282, 0.198
4, 0.009
22, 0.036
4, 0.013
22, 0.049
18, 0.056
18, 0.034
22, 0.05
1, 0.013
23, 0.035
17, 0.031
7, 0.009
2, 0.007
3, 0.018
6, 0.055
10, 0.036
10, 0.046
3, 0.018
39, 0.078
6, 0.04
23, 0.043
22, 0.038
5, 0.028
28, 0.06
8, 0.042
11, 0.035
4, 0.013
6, 0.032
244, 0.199
4, 0.033
16, 0.031
6, 0.031
6, 0.031
6, 0.039
7, 0.018
7, 0.019
3, 0.028
4, 0.025
6, 0.019
3, 0.009
9, 0.032
4, 0.015
5, 0.029
11, 0.026
4, 0.012
4, 0.015
6, 0.033
13, 0.027
4, 0.022
4, 0.013
3, 0.008
4, 0.016
6, 0.023
12, 0.032
3, 0.012
16, 0.057
35, 0.035
4, 0.019
6, 0.024
11, 0.029
3, 0.011
3, 0.012
